156;Украинский\Шевченко;543,544,521,522,523,524
157;Украинский\Энгельса;545,546,523,524,519,520,525,526
158;Украинский\Карла Либкнехта;525,526,547,548,517,518,527,528
159;Украинский\Розы Люксембург;527,528,515,516,549,550,529,530
160;Украинский\Чехова;485,529,530,513,514,531,532
161;Украинский\Александровская;483,484,485,486
162;Украинский\Фрунзе;482,483,620,621
163;Украинский\Петровская;482,474,468,468
164;Украинский\Греческая;460,474,461
165;Некрасовский\Шевченко;521,522,499,500,501,502
166;Некрасовский\Энгельса;501,502,519,520,503,504
167;Некрасовский\Карла Либкнехта;503,504,517,518,505,506
168;Некрасовский\Розы Люксембург;505,506,507,508,515,516
169;Некрасовский\Чехова;507,508,513,514,509,510,511,512
170;Некрасовский\Александровская;484,511,512,489,490,
171;Некрасовский\Петровская;469,473,489,490
172;Некрасовский\Греческая;459,460,473
173;Никольская церковь;499,500,498,497
174;1-й Крепостной\Полуротный;497,495,496
175;1-й Крепостной\Чехова;488,496,509,510,622,623
176;1-й Крепостной\Петровская;470,488,471
177;Шевченко\Полуротный;498,495,493,494
178;"Корпус ""И""";493,494,491,492,622,623
179;Греческая\Петровская;471,472,491,492
180;Комсомольский Спуск;472,459,457,458
181;Порт;457,458,455,456
182;Мечниковский\Петровская;425,442,429
183;Мечниковский\Фрунзе;429,423,424,439,440,430,431
184;Мечниковский\Октябрьская;421,422,430,431,432,433
185;Мечниковский\Александровская;434,435,432,433,436,437
186;Греческая\Биржевой спуск;444,445,446,426
187;Греческая\М. Садовый;426,417,415,416
188;Петровская\М. Садовый;417,425,419,420
189;Парк Горького;419,420,418,411,412
190;Спартаковский\Фрунзе;399,400,418,405,406,423,424
191;Спартаковский\Октябрьская;398,421,422,399,400
192;Портовая\Крюйса;445,446,455,456,447,448
193;Аквапарк;427,428,447,448,449,450
194;Бухта ;449,450,638,639,660,661
195;Социалистическая\Парковый;638,639,624,625,451,452
196;Парковый\Осипенко;624,625,626,627,636,637
197;Парковый\Дзержинского;628,629,626,627,453,454
198;Петровская\Дзержинского;407,408,354,355,453,454,630,631
199;Ленина\Автодоровский;307,308,309,310,630,631
200;ЖК Дельфин;305,306,309,310,632,633
201;Дзержинского\Выгонная;632,633,634,635,628,629
202;Дзержинского\Заводская;634,635,636,637,640,641
203;Дзержинского\Морозова;640,641,642,643,644,645,646,647
204;Дзержинского\Тольятти;646,647,648,649,650,651,654,655
205;Морозова\Тольятти;642,643,648,649,656,657
206;Тольятти\Московская;644,645,650,651,652,653
207;Москатова\Н. Кукольника;725,726,691,692,652,653
208;Новый вокзал;691,692,670,671,715,716
209;Дзержинского\Воскова;693,694,713,714,715,716
210;Дзержинского\И.Голубца;695,696,701,702,173,714,711,712
211;Дзержинского\Черняховского;711,712,703,704,697,698,709,710
212;Дзержинского\Толбухина;709,710,705,706,654,655
213;Толбухина\Зои Космодемьянской;705,706,721,722,707,708
214;Толбухина\Морозова;707,708,658,659,656,657
215;Морозова\Щаденко;699,700,668,669,672,673,670,671,658,659
216;Зои Космодемьянской\И.Голубца;699,700,701,702,723,724
217;Зои Космодемьянской\Черняховского;703,704,721,722,723,724
218;С. Лазо\Воскова;693,694,717,718
219;С. Лазо\И.Голубца;717,718,719,720,695,696
220;С. Лазо\Черняховского;719,720,697,698
221;Красный Котельщик;299,300,305,306,307,308,303,304
222;Строительная;299,300,175,176,177,178
223;Марцевский треугольник;301,302,179,180,727,728
224;Ленина\Москатова;301,302,303,304,725,726
225;Л. Чайкиной\16-й Новый;737,728,750,751,729
226;Жукова\16-й Новый;750,751,747,752,725,748,749
227;Марцево;748,749
228;16-й Новый\4-я Линия;752,753,754,755,780,781
229;16-й Новый\Дачная;780,781,782,783,784,785
230;Очистная;782,783
231;Дачная\10-й Новый;784,785,786,787,788,789
232;10-й Новый\4-я Линия;754,755,756,757,760,761,778,779
233;10-й Новый\Жукова;746,747,760,761,762,763
234;10-й Новый\Л. Чайкиной;729,730,762,763
